Rat_symbol	ISG
Zfp112	0
AC118165.1	0
Zfp111	0
Zfp61	0
Tescl	0
Lypd5	0
Kcnn4	0
Smg9	0
Irgc	0
Plaur	0
Cadm4	0
Zfp428	0
AABR07002689.1	0
Irgq	0
Pinlyp	0
Xrcc1	0
Zfp575	0
Ethe1	0
Phldb3	0
Lypd3	0
Tex101	0
RGD1564380	0
RGD1565655	0
LOC103689942	0
Lypd4	0
LOC100910371	0
Rps19l2	0
Cd79a	0
Arhgef1	0
Rabac1	0
Atp1a3	0
Grik5	0
Zfp574	0
Pou2f2	0
Dedd2	0
Zfp526	0
Gsk3a	0
Erf	0
Cic	0
Pafah1b3	0
Prr19	0
Tmem145	0
Megf8	0
Cnfn	0
Lipe	0
Cxcl17	0
Ceacam1	0
Erich4	0
Dmac2	0
B3gnt8	0
Bckdha	0
Exosc5	0
B9d2	0
Tgfb1	0
Ccdc97	0
Hnrnpul1	0
Axl	0
Cyp2s1	0
LOC100909620	0
Cd177	0
Ceacam4	0
Cyp2b2	0
Cyp2b3	0
LOC103691092	0
Cyp2b21	0
Cyp2b12	0
LOC103691072	0
Cyp2g1	0
Cyp2a1	0
Cyp2f4	0
Cyp2t1	0
Egln2	0
Rab4b	0
Mia	0
Snrpa	0
RGD1560854	0
Itpkc	0
Coq8b	0
Numbl	0
Ltbp4	0
Shkbp1	0
Sptbn4	0
Blvrb	0
Sertad3	0
Sertad1	0
Prx	0
Hipk4	0
Pld3	0
RGD1307554	0
Akt2	0
Ttc9b	0
Map3k10	0
LOC100910046	0
AABR07071891.2	0
AABR07002774.4	0
AABR07002774.1	0
AABR07002784.1	0
Psmc4	0
Fcgbp	0
Fcgbpl1	0
Fbl	0
Dyrk1b	0
Acp7	0
Pak4	0
Nccrp1	0
Sycn	0
Ifnl3	0
Ifnl1	0
Lrfn1	0
Gmfg	0
Samd4b	0
Paf1	0
Med29	0
Zfp36	0
Plekhg2	0
Rps16	0
Supt5h	0
Timm50	0
Dll3	0
Selenov	0
Fpr-rs4	0
Vom2r10	0
Fpr-rs6	0
Vom1r2	0
Vom1r3	0
AABR07002848.1	0
Fbxo17	0
Mrps12	0
Sars2	0
Ccer2	0
Nfkbib	0
Sirt2	0
Rinl	0
Hnrnpl	0
Ech1	0
Lgals4	0
Lgals7	0
Capn12	0
Actn4	0
LOC100909725	0
Yif1b	0
Spint2	0
Ppp1r14a	0
Dpf1	0
Sipa1l3	0
AABR07002868.1	0
Zfp84	0
AABR07002870.2	0
LOC103690163	0
Zfp74	0
Eif3k	0
Map4k1	0
Ryr1	0
Rasgrp4	0
Fam98c	0
Spred3	0
Ggn	0
Psmd8	0
Catsperg	0
Kcnk6	0
LOC103690114	0
Zfp14	0
Zfp566	0
Zfp260	0
AABR07002893.1	0
Zfp420	0
Zfp382	0
LOC103690005	0
Ovol3	0
LOC108348122	0
Alkbh6	0
Syne4	0
LOC108348111	0
Lrfn3	0
Tyrobp	0
Hcst	0
Nfkbid	0
Aplp1	0
Kirrel2	0
Nphs1	0
Prodh2	0
Arhgap33	0
Proser3	0
Hspb6	0
Lin37	0
Psenen	0
U2af1l4	0
Igflr1	0
Kmt2b	0
Zbtb32	0
Upk1a	0
Cox6b1	0
Etv2	0
Rbm42	0
Haus5	0
LOC688924	0
Atp4a	0
Tmem147	0
Gapdhs	0
Sbsn	0
Dmkn	0
LOC100361079	0
Ffar2	0
Ffar3	0
Ffar1	0
Cd22	0
Mag	0
Hamp	0
Usf2	0
Lsr	0
Fam187b	0
Fxyd5	0
Fxyd1	0
Lgi4	0
Hpn	0
Scn1b	0
Gramd1a	0
Scgb2b2	0
Scgb2b24	0
Apbh	0
AABR07002945.1	0
Uba2	0
Pdcd2l	0
Gpi	0
Lsm14a	0
Kctd15	0
Sdhaf1	0
LOC108348128	0
LOC108348106	0
Clip3	0
Wdr62	0
Tbcb	0
Capns1	0
Cox7a1	0
Slc7a10	0
Lrp3	0
Wdr88	0
Gpatch1	0
Snrpg	0
Rhpn2	0
Faap24	0
Cep89	0
Slc7a9	0
Tdrd12	0
AC136661.1	0
Nudt19	0
Rgs9bp	0
Ankrd27	0
Dpy19l3	0
Zfp507	0
Tshz3	0
RGD1562402	0
Zfp536	0
Uri1	0
Ccne1	0
Plekhf1	0
Pop4	0
Uqcrb	0
LOC690114	0
LOC365238	0
Vstm2b	0
MGC114499	0
LOC690284	0
Cd33	0
LOC690483	0
Iglon5	0
Vsig10l	0
Etfb	0
Cldnd2	0
Nkg7	0
Lim2	0
Siglec10	0
Siglec5	0
Zfp17	0
Vom2r37	0
LOC100911689	0
Klk1c8	0
Klk1	0
Klk15	0
LOC102546648	0
LOC102556967	0
Ceacam18	0
Ctu1	0
Klk14	0
Klk13	0
Klk12	0
Klk11	0
Klk10	0
Klk9	0
Klk8	0
Klk6	0
Klk5	0
Klk4	0
Klk1c10	0
Klk1c6	0
Klk1c2	0
Klk1c3	0
Fv1	0
Acp4	0
Clec11a	0
Shank1	0
RGD1309036	0
Syt3	0
Lrrc4b	0
Aspdh	0
Josd2	0
Emc10	0
Fam71e1	0
Mybpc2	0
Spib	0
Pold1	0
Nr1h2	0
Napsa	0
Kcnc3	0
Myh14	0
Izumo2	0
Zfp473	0
Vrk3	0
Atf5	0
Nup62	0
Il4i1	0
Tbc1d17	0
Akt1s1	0
Pnkp	0
Ptov1	0
Med25	0
Fuz	0
Ap2a1	0
Tsks	0
Cpt1c	0
Prmt1	0
Bcl2l12	0
Irf3	0
Scaf1	0
Rras	0
Prr12	0
Prrg2	0
Nosip	0
Rcn3	0
Rpl13a	0
AC099450.1	0
Flt3lg	0
Aldh16a1	0
Pih1d1	0
Slc17a7	0
Gfy	0
Dkkl1	0
Tead2	0
Cd37	0
Slc6a16	0
RGD1562492	0
Trpm4	0
Hrc	0
Ppfia3	0
Lin7b	0
Kcna7	0
Ntf4	0
Lhb	0
Ruvbl2	0
Gys1	0
LOC100360087	0
Bax	0
Dhdh	0
Tulp2	0
Nucb1	0
Ppp1r15a	0
Plekha4	0
Hsd17b14	0
Bcat2	0
Fgf21	0
Fut1	0
Rasip1	0
Mamstr	0
Fut2	0
Ntn5	0
Ca11	0
Dbp	0
Sphk2	0
Rpl18	0
Fam83e	0
Spaca4	0
Sult2b1	0
AC095693.1	0
Cyth2	0
Kcnj14	0
Grwd1	0
Grin2d	0
Kdelr1	0
Syngr4	0
Tmem143	0
Emp3	0
Abcc6	0
Nomo1	0
Kcnj11	0
Abcc8	0
Ush1c	0
Otog	0
Myod1	0
Kcnc1	0
Sergef	0
Tph1	0
LOC691143	0
Hps5	0
Gtf2h1	0
Ldha	0
Ldhc	0
Tsg101	0
Uevld	0
Spty2d1	0
Tmem86a	0
Ptpn5	0
Mrgprx3	0
Mrgprx4	0
Mrgprb4	0
Mrgprb5	0
Mrgprb13	0
Mrgprb3	0
Zdhhc13	0
Csrp3	0
Nav2	0
Dbx1	0
Htatip2	0
Prmt3	0
Slc6a5	0
Nell1	0
Ano5	0
Slc17a6	0
Fancf	0
Gas2	0
Svip	0
Luzp2	0
Gabrg3	0
Gabra5	0
Gabrb3	0
Siglech	0
Tubgcp5	0
Cyfip1	0
Nipa2	0
Nipa1	0
Herc2	0
Oca2	0
Ube3a	0
Magel2	0
Mkrn3	0
Peg12	0
Chrna7	0
Otud7a	0
Klf13	0
Trpm1	0
Mtmr10	0
Fan1	0
Mphosph10	0
Mcee	0
Apba2	0
Fam189a1	0
Tjp1	0
Tars3	0
Tm2d3	0
Pcsk6	0
Snrpa1	0
Selenos	0
Chsy1	0
Lrrk1	0
Aldh1a3	0
Asb7	0
Lins1	0
Cers3	0
Adamts17	0
Lysmd4	0
Mef2a	0
Lrrc28	0
Ttc23	0
Synm	0
Igf1r	0
Pgpep1l	0
Fam169b	0
Nr2f2	0
Mctp2	0
Rgma	0
Chd2	0
Fam174b	0
Slco3a1	0
Akap13	0
Klhl25	0
Agbl1	0
Ntrk3	0
Mrpl46	0
Mrps11	0
Det1	0
Aen	0
Acan	0
Hapln3	0
Mfge8	0
Abhd2	0
Rlbp1	0
Polg	0
Rhcg	0
Kif7	0
Plin1	0
Pex11a	0
Wdr93	0
AC096024.2	0
Mesp1	0
Mesp2	0
Anpep	0
Ap3s2	0
Arpin	0
Echs1	0
Fuom	0
Idh2	0
Sema4b	0
Cib1	0
Ttll13	0
Ngrn	0
Vps33b	0
Prc1	0
