group	SYMBOL.Mm	Species
Brain	Fabp7	Mouse
Brain	Serinc1	Mouse
Colon	Mgat4c	Mouse
Ileum	Mgat4c	Mouse
Brain	Zwint	Mouse
Quadriceps	Ube2d1	Mouse
Quadriceps	Mrln	Mouse
Brain	Ahi1	Mouse
Esophagus	Arg1	Mouse
Liver	Arg1	Mouse
Duodenum	Enpp3	Mouse
Jejunum	Enpp3	Mouse
Liver	Hal	Mouse
Kidney	Timp3	Mouse
Liver	Pah	Mouse
Kidney	Pah	Mouse
Liver	Igf1	Mouse
Esophagus	Mybpc1	Mouse
Quadriceps	Mybpc1	Mouse
Liver	Egfr	Mouse
Esophagus	Jsrp1	Mouse
Quadriceps	Jsrp1	Mouse
Brain	Nsg2	Mouse
Brain	Acsl6	Mouse
Brain	Cyfip2	Mouse
Duodenum	Fabp6	Mouse
Jejunum	Fabp6	Mouse
Ileum	Fabp6	Mouse
Duodenum	Upp1	Mouse
Jejunum	Upp1	Mouse
Ileum	Upp1	Mouse
Kidney	Igfbp3	Mouse
Brain	Gabra6	Mouse
Brain	Adcy1	Mouse
Kidney	Tcn2	Mouse
Brain	Gabrg2	Mouse
Ileum	Npc1l1	Mouse
Duodenum	Npc1l1	Mouse
Jejunum	Npc1l1	Mouse
Brain	Septin4	Mouse
Brain	Gria1	Mouse
Brain	Ntsr2	Mouse
Duodenum	Ace	Mouse
Jejunum	Ace	Mouse
Esophagus	Cacng1	Mouse
Quadriceps	Cacng1	Mouse
Colon	Atp2a3	Mouse
Ileum	Nos2	Mouse
Duodenum	Slc46a1	Mouse
Jejunum	Slc46a1	Mouse
Liver	Asgr1	Mouse
Brain	Dlg4	Mouse
Esophagus	Aloxe3	Mouse
Brain	Vamp2	Mouse
Brain	Adam11	Mouse
Brain	Gfap	Mouse
Pancreas	Sel1l	Mouse
Kidney	Cdkl1	Mouse
Kidney	Gstz1	Mouse
Liver	Gstz1	Mouse
Liver	Pygl	Mouse
Brain	Trim9	Mouse
Kidney	Serpina1f	Mouse
Brain	Rtn1	Mouse
Esophagus	Rdh12	Mouse
Duodenum	Arg2	Mouse
Jejunum	Arg2	Mouse
Liver	Slc10a1	Mouse
Kidney	Lgmn	Mouse
Kidney	Akr1c21	Mouse
Duodenum	Ifi27l2b	Mouse
Jejunum	Ifi27l2b	Mouse
Liver	Akr1c6	Mouse
Brain	Cyp46a1	Mouse
Brain	Meg3	Mouse
Brain	Klc1	Mouse
Heart	Ryr2	Mouse
Brain	Amph	Mouse
Kidney	Slc17a1	Mouse
Liver	Elovl2	Mouse
Kidney	Eci3	Mouse
Kidney	Slc34a1	Mouse
Liver	F12	Mouse
Quadriceps	Pdlim7	Mouse
Esophagus	Pitx1	Mouse
Liver	Lect2	Mouse
Kidney	Slc6a18	Mouse
Quadriceps	Ckmt2	Mouse
Heart	Ckmt2	Mouse
Brain	Rab3c	Mouse
Brain	Rgs7bp	Mouse
Brain	Fam107a	Mouse
Quadriceps	Dusp13	Mouse
Kidney	Plau	Mouse
Kidney	ccdc198	Mouse
Liver	Rnase4	Mouse
Liver	Hacl1	Mouse
Heart	Asb14	Mouse
Quadriceps	Asb14	Mouse
Pancreas	Itih4	Mouse
Liver	Itih4	Mouse
Liver	Ebpl	Mouse
Esophagus	Anxa8	Mouse
Liver	Cpb2	Mouse
Duodenum	Olfm4	Mouse
Jejunum	Olfm4	Mouse
Ileum	Olfm4	Mouse
Brain	Stmn4	Mouse
Brain	Nefm	Mouse
Brain	Nefl	Mouse
Esophagus	Scel	Mouse
Kidney	Cldn10	Mouse
Liver	C9	Mouse
Kidney	Dab2	Mouse
Liver	C6	Mouse
Brain	Slc22a17	Mouse
Brain	Jph4	Mouse
Brain	Cpne6	Mouse
Esophagus	Tgm1	Mouse
Colon	Atp12a	Mouse
Liver	Amacr	Mouse
Kidney	Amacr	Mouse
Liver	Dpys	Mouse
Liver	Rida	Mouse
Kidney	Rida	Mouse
Kidney	Slc22a22	Mouse
Brain	Nptxr	Mouse
Brain	Nell2	Mouse
Brain	Septin3	Mouse
Liver	Slc38a4	Mouse
Esophagus	Endou	Mouse
Brain	Pde1b	Mouse
Esophagus	Emp2	Mouse
Liver	Il1rap	Mouse
Brain	Fgf12	Mouse
Brain	Apod	Mouse
Ileum	Dgat1	Mouse
Duodenum	Dgat1	Mouse
Jejunum	Dgat1	Mouse
Brain	Ly6h	Mouse
Colon	Ly6g	Mouse
Esophagus	Lypd2	Mouse
Esophagus	Slurp1	Mouse
Stomach	Psca	Mouse
Brain	Arc	Mouse
Quadriceps	Mapk12	Mouse
Kidney	Miox	Mouse
Brain	Mapk8ip2	Mouse
Brain	Tagln3	Mouse
Kidney	Mpv17l	Mouse
Kidney	Nit2	Mouse
Liver	Nit2	Mouse
Liver	Serpind1	Mouse
Heart	Popdc2	Mouse
Kidney	Hgd	Mouse
Liver	Hgd	Mouse
Duodenum	Tmprss15	Mouse
Jejunum	Tmprss15	Mouse
Liver	Ahsg	Mouse
Liver	Fetub	Mouse
Esophagus	Fetub	Mouse
Liver	Kng1	Mouse
Liver	Hrg	Mouse
Esophagus	Adipoq	Mouse
Colon	Ildr1	Mouse
Stomach	Clic6	Mouse
Brain	Synj1	Mouse
Brain	Faim2	Mouse
Kidney	Aqp2	Mouse
Pancreas	Cela1	Mouse
Kidney	Csad	Mouse
Liver	Csad	Mouse
Ileum	Fabp2	Mouse
Duodenum	Fabp2	Mouse
Jejunum	Fabp2	Mouse
Liver	Rgn	Mouse
Ileum	Slc10a2	Mouse
Stomach	Sult1c2	Mouse
Ileum	Gzma	Mouse
Duodenum	Gzma	Mouse
Jejunum	Gzma	Mouse
Duodenum	Reg2	Mouse
Jejunum	Reg2	Mouse
Pancreas	Reg2	Mouse
Quadriceps	Tmem52	Mouse
Ileum	Ccl25	Mouse
Duodenum	Ccl25	Mouse
Jejunum	Ccl25	Mouse
Brain	Scg5	Mouse
Ileum	Slc26a6	Mouse
Duodenum	Slc26a6	Mouse
Jejunum	Slc26a6	Mouse
Brain	Agap3	Mouse
Kidney	Tmem176a	Mouse
Duodenum	Cela3b	Mouse
Jejunum	Cela3b	Mouse
Pancreas	Cela3b	Mouse
Kidney	Slc22a1	Mouse
Liver	Slc22a1	Mouse
Stomach	Pgc	Mouse
Liver	Glo1	Mouse
Duodenum	Tff1	Mouse
Jejunum	Tff1	Mouse
Stomach	Tff1	Mouse
Heart	Lbh	Mouse
Duodenum	Xdh	Mouse
Jejunum	Xdh	Mouse
Brain	Pja2	Mouse
Brain	Nrxn1	Mouse
Brain	Prepl	Mouse
Kidney	Abca3	Mouse
Esophagus	Dnase1l2	Mouse
Brain	Mapk8ip3	Mouse
Esophagus	C3	Mouse
Liver	C3	Mouse
Stomach	Pdia2	Mouse
Pancreas	Pdia2	Mouse
Pancreas	Clps	Mouse
Stomach	Clps	Mouse
Brain	Syt4	Mouse
Brain	Celf4	Mouse
Duodenum	Mep1b	Mouse
Jejunum	Mep1b	Mouse
Ileum	Mep1b	Mouse
Ileum	Psmb8	Mouse
Duodenum	Psmb8	Mouse
Jejunum	Psmb8	Mouse
Duodenum	Btnl2	Mouse
Jejunum	Btnl2	Mouse
Kidney	Slc23a1	Mouse
Kidney	Proc	Mouse
Liver	Proc	Mouse
Kidney	Apom	Mouse
Liver	Apom	Mouse
Brain	Atp6v1g2	Mouse
Brain	Impact	Mouse
Liver	Ttc39c	Mouse
Brain	Gabbr1	Mouse
Esophagus	Myot	Mouse
Quadriceps	Myot	Mouse
Esophagus	Cidea	Mouse
Quadriceps	Camk2a	Mouse
Brain	Camk2a	Mouse
Kidney	Slc22a6	Mouse
Esophagus	Scgb1a1	Mouse
Colon	Anxa1	Mouse
Esophagus	Anxa1	Mouse
Stomach	Cblif	Mouse
Liver	Keg1	Mouse
Kidney	Keg1	Mouse
Duodenum	Ms4a10	Mouse
Jejunum	Ms4a10	Mouse
Stomach	Pga5	Mouse
Kidney	Slc22a19	Mouse
Liver	Rcl1	Mouse
Liver	Tm7sf2	Mouse
Heart	Ankrd1	Mouse
Duodenum	Slc25a45	Mouse
Jejunum	Slc25a45	Mouse
Pancreas	Cabp2	Mouse
Brain	Klc2	Mouse
Liver	Mbl2	Mouse
Kidney	Acy3	Mouse
Heart	Doc2g	Mouse
Brain	Cnih2	Mouse
Duodenum	Asah2	Mouse
Jejunum	Asah2	Mouse
Duodenum	Papss2	Mouse
Jejunum	Papss2	Mouse
Pancreas	Gal	Mouse
Heart	Vegfb	Mouse
Liver	Rbp4	Mouse
Colon	Cyp2c55	Mouse
Kidney	Gk	Mouse
Esophagus	Col17a1	Mouse
Stomach	Pnliprp2	Mouse
Pancreas	Pnliprp2	Mouse
Liver	Gcgr	Mouse
Quadriceps	Ppp1r27	Mouse
Esophagus	Cbr2	Mouse
Brain	Maged1	Mouse
Esophagus	Fasn	Mouse
Quadriceps	Slc16a3	Mouse
Kidney	Hoga1	Mouse
Liver	Hoga1	Mouse
Liver	Cyp2c23	Mouse
Kidney	Slc6a20b	Mouse
Liver	Prdx4	Mouse
Pancreas	Prdx4	Mouse
Brain	Aatk	Mouse
Duodenum	Hsd17b6	Mouse
Jejunum	Hsd17b6	Mouse
Liver	Hsd17b6	Mouse
Brain	Agap2	Mouse
Esophagus	Crisp1	Mouse
Heart	Nnt	Mouse
Ileum	Prap1	Mouse
Duodenum	Prap1	Mouse
Jejunum	Prap1	Mouse
Brain	Caly	Mouse
Kidney	Cyp2e1	Mouse
Liver	Cyp2e1	Mouse
Liver	Urah	Mouse
Ileum	2010106E10Rik	Mouse
Duodenum	2010106E10Rik	Mouse
Jejunum	2010106E10Rik	Mouse
Kidney	Asl	Mouse
Liver	Asl	Mouse
Quadriceps	Phkg1	Mouse
Brain	Rbfox3	Mouse
Brain	Nptx1	Mouse
Brain	Arhgef9	Mouse
Brain	Fbxl16	Mouse
Brain	Gng13	Mouse
Quadriceps	Pgm1	Mouse
Brain	Prkar1b	Mouse
Brain	Cplx2	Mouse
Brain	Snca	Mouse
Kidney	Adhfe1	Mouse
Liver	Gsta3	Mouse
Liver	Lactb2	Mouse
Kidney	Lactb2	Mouse
Stomach	Slc9a4	Mouse
Brain	Sphkap	Mouse
Liver	Cyp27a1	Mouse
Quadriceps	Plcd4	Mouse
Liver	Pecr	Mouse
Kidney	Pecr	Mouse
Kidney	Glb1l	Mouse
Brain	Ptprn	Mouse
Brain	Itm2c	Mouse
Brain	Ngef	Mouse
Liver	Agxt	Mouse
Liver	Spp2	Mouse
Kidney	Spp2	Mouse
Esophagus	Serpinb11	Mouse
Kidney	Acmsd	Mouse
Duodenum	Lct	Mouse
Jejunum	Lct	Mouse
Liver	Cfh	Mouse
Kidney	F13b	Mouse
Liver	F13b	Mouse
Liver	C4bp	Mouse
Quadriceps	Cacna1s	Mouse
Esophagus	Pkp1	Mouse
Heart	Tnnt2	Mouse
Brain	Gpr37l1	Mouse
Brain	Nfasc	Mouse
Esophagus	Chit1	Mouse
Colon	Mptx1	Mouse
Liver	Apcs	Mouse
Brain	Kifap3	Mouse
Liver	Mtarc1	Mouse
Liver	Mcm10	Mouse
Liver	Serpinc1	Mouse
Kidney	Pter	Mouse
Brain	Kif5c	Mouse
Quadriceps	Pfkfb3	Mouse
Brain	Gad2	Mouse
Esophagus	Niban2	Mouse
Brain	Stxbp1	Mouse
Colon	St6galnac6	Mouse
Duodenum	Cel	Mouse
Jejunum	Cel	Mouse
Pancreas	Cel	Mouse
Brain	Dnm1	Mouse
Brain	Olfm1	Mouse
Liver	Upp2	Mouse
Liver	Kynu	Mouse
Liver	Hc	Mouse
Brain	Slc4a10	Mouse
Heart	Egfl7	Mouse
Brain	Abca2	Mouse
Esophagus	Neb	Mouse
Quadriceps	Neb	Mouse
Brain	Grin1	Mouse
Esophagus	Il36rn	Mouse
Esophagus	Il36a	Mouse
Esophagus	Il36b	Mouse
Esophagus	Dapl1	Mouse
Quadriceps	Xirp2	Mouse
Liver	Abcb11	Mouse
Kidney	Lrp2	Mouse
Esophagus	Smtnl1	Mouse
Kidney	Cat	Mouse
Liver	Cat	Mouse
Pancreas	Gatm	Mouse
Kidney	Gatm	Mouse
Kidney	Slc12a1	Mouse
Brain	Syt13	Mouse
Brain	Chst1	Mouse
Brain	Mapk8ip1	Mouse
Ileum	Duoxa2	Mouse
Liver	Sord	Mouse
Kidney	Sord	Mouse
Heart	Frmd5	Mouse
Liver	F2	Mouse
Brain	Map1a	Mouse
Liver	Hao1	Mouse
Brain	Lamp5	Mouse
Brain	Snap25	Mouse
Heart	Ehd4	Mouse
Quadriceps	Smox	Mouse
Brain	Rasgrp1	Mouse
Liver	Slc27a2	Mouse
Kidney	Slc27a2	Mouse
Colon	Slc20a1	Mouse
Colon	Tgm3	Mouse
Esophagus	Tgm3	Mouse
Brain	Pcsk2	Mouse
Brain	Napb	Mouse
Brain	Snph	Mouse
Esophagus	Mylk2	Mouse
Quadriceps	Mylk2	Mouse
Esophagus	Bpifa1	Mouse
Esophagus	Bpifb1	Mouse
Stomach	Bpifb1	Mouse
Brain	Stmn2	Mouse
Ileum	Car1	Mouse
Colon	Car1	Mouse
Brain	Stmn3	Mouse
Brain	Ggt7	Mouse
Brain	Epb41l1	Mouse
Brain	Ndrg3	Mouse
Brain	Pex5l	Mouse
Liver	Aadac	Mouse
Kidney	Mfsd1	Mouse
Ileum	Sis	Mouse
Duodenum	Sis	Mouse
Jejunum	Sis	Mouse
Brain	Dclk1	Mouse
Liver	Tm4sf4	Mouse
Duodenum	Tm4sf4	Mouse
Jejunum	Tm4sf4	Mouse
Quadriceps	Pfn2	Mouse
Brain	Pfn2	Mouse
Duodenum	Mme	Mouse
Jejunum	Mme	Mouse
Brain	Serpini1	Mouse
Brain	Tspan2	Mouse
Heart	Casq2	Mouse
Kidney	Hao2	Mouse
Colon	Hao2	Mouse
Colon	Hmgcs2	Mouse
Liver	Hmgcs2	Mouse
Quadriceps	Sypl2	Mouse
Brain	Slc6a17	Mouse
Kidney	Slc16a4	Mouse
Esophagus	Crct1	Mouse
Esophagus	Lce1g	Mouse
Esophagus	Lce1b	Mouse
Duodenum	Casp6	Mouse
Jejunum	Casp6	Mouse
Stomach	Casp6	Mouse
Liver	Fga	Mouse
Liver	Tdo2	Mouse
Kidney	Egf	Mouse
Brain	Glrb	Mouse
Duodenum	Enpep	Mouse
Jejunum	Enpep	Mouse
Ileum	Enpep	Mouse
Liver	Cd1d1	Mouse
Esophagus	Ecm1	Mouse
Esophagus	Bnipl	Mouse
Heart	Myoz2	Mouse
Brain	Celf3	Mouse
Esophagus	Them5	Mouse
Brain	Rap1gds1	Mouse
Duodenum	Mttp	Mouse
Jejunum	Mttp	Mouse
Brain	Ppp3ca	Mouse
Kidney	Bdh2	Mouse
Liver	Uox	Mouse
Kidney	Ddah1	Mouse
Kidney	Cryz	Mouse
Brain	Calb1	Mouse
Kidney	Calb1	Mouse
Liver	Rmdn1	Mouse
Colon	Slc35a1	Mouse
Brain	Brinp1	Mouse
Liver	Ambp	Mouse
Kidney	Kif12	Mouse
Quadriceps	2310002L09Rik	Mouse
Brain	Fam219a	Mouse
Colon	Gne	Mouse
Brain	Psip1	Mouse
Brain	Sh3gl2	Mouse
Brain	Sgip1	Mouse
Kidney	Ak4	Mouse
Brain	Dnajc6	Mouse
Liver	Angptl3	Mouse
Kidney	Cyp2j13	Mouse
Liver	Fggy	Mouse
Kidney	Fggy	Mouse
Kidney	Cyp4a31	Mouse
Kidney	Cyp4b1	Mouse
Kidney	Akr7a5	Mouse
Duodenum	Cda	Mouse
Jejunum	Cda	Mouse
Kidney	Cda	Mouse
Kidney	Alpl	Mouse
Heart	Fabp3	Mouse
Brain	Adgrb2	Mouse
Brain	Hpca	Mouse
Brain	Ncdn	Mouse
Quadriceps	Trim63	Mouse
Heart	Trim63	Mouse
Pancreas	Casp9	Mouse
Brain	Kcnab2	Mouse
Kidney	Errfi1	Mouse
Liver	Errfi1	Mouse
Liver	Masp2	Mouse
Brain	Fbxo44	Mouse
Heart	Nppb	Mouse
Duodenum	Bst1	Mouse
Jejunum	Bst1	Mouse
Kidney	Lrpap1	Mouse
Brain	Ppp2r2c	Mouse
Brain	Crmp1	Mouse
Kidney	Evc	Mouse
Brain	Nsg1	Mouse
Quadriceps	Yipf7	Mouse
Heart	Yipf7	Mouse
Brain	Uchl1	Mouse
Liver	Alb	Mouse
Liver	Afm	Mouse
Liver	Cxcl1	Mouse
Liver	Hpd	Mouse
Heart	Atp2a2	Mouse
Brain	Camkk2	Mouse
Pancreas	Pla2g1b	Mouse
Stomach	Pla2g1b	Mouse
Brain	Cabp1	Mouse
Brain	Fscn1	Mouse
Liver	Sds	Mouse
Brain	Rph3a	Mouse
Quadriceps	Aimp2	Mouse
Duodenum	Cyp3a25	Mouse
Jejunum	Cyp3a25	Mouse
Liver	Cyp3a25	Mouse
Liver	C8b	Mouse
Liver	Tfpi2	Mouse
Esophagus	Eln	Mouse
Heart	Lmod2	Mouse
Liver	Aass	Mouse
Kidney	Aass	Mouse
Liver	Tfr2	Mouse
Duodenum	Cyp3a13	Mouse
Jejunum	Cyp3a13	Mouse
Brain	Dync1i1	Mouse
Brain	Npy	Mouse
Ileum	Gsdme	Mouse
Kidney	Tmem213	Mouse
Brain	Ptn	Mouse
Colon	Sval1	Mouse
Duodenum	2210010C04Rik	Mouse
Jejunum	2210010C04Rik	Mouse
Pancreas	2210010C04Rik	Mouse
Kidney	Nat8	Mouse
Duodenum	Reg3g	Mouse
Jejunum	Reg3g	Mouse
Ileum	Reg3g	Mouse
Stomach	Gkn3	Mouse
Duodenum	Gkn3	Mouse
Jejunum	Gkn3	Mouse
Duodenum	Gkn2	Mouse
Jejunum	Gkn2	Mouse
Stomach	Gkn2	Mouse
Duodenum	Gkn1	Mouse
Jejunum	Gkn1	Mouse
Stomach	Gkn1	Mouse
Kidney	Aldh1l1	Mouse
Liver	Aldh1l1	Mouse
Esophagus	Tmem43	Mouse
Liver	Slc6a13	Mouse
Kidney	Slc6a13	Mouse
Brain	Rasgef1a	Mouse
Kidney	Tmem52b	Mouse
Pancreas	Erp27	Mouse
Liver	Slco1b2	Mouse
Brain	Atp2b2	Mouse
Brain	Slc6a11	Mouse
Brain	Slc6a1	Mouse
Brain	Pianp	Mouse
Brain	Vamp1	Mouse
Liver	Pzp	Mouse
Brain	Slc8a2	Mouse
Liver	Sult2a8	Mouse
Liver	Slc27a5	Mouse
Quadriceps	Rtn2	Mouse
Brain	Ttyh1	Mouse
Esophagus	Sbk2	Mouse
Brain	Psd3	Mouse
Esophagus	Csrp3	Mouse
Heart	Csrp3	Mouse
Duodenum	Cyp2b10	Mouse
Jejunum	Cyp2b10	Mouse
Esophagus	Lypd5	Mouse
Liver	Gas2	Mouse
Kidney	Gas2	Mouse
Esophagus	Cers3	Mouse
Brain	Apba2	Mouse
Stomach	Furin	Mouse
Esophagus	Plin1	Mouse
Kidney	Rhcg	Mouse
Quadriceps	Synm	Mouse
Kidney	Nox4	Mouse
Esophagus	Ryr1	Mouse
Quadriceps	Ryr1	Mouse
Liver	Fah	Mouse
Kidney	Fah	Mouse
Esophagus	Mylpf	Mouse
Quadriceps	Mylpf	Mouse
Brain	Sez6l2	Mouse
Brain	Kctd13	Mouse
Esophagus	Klk10	Mouse
Brain	Plekhb1	Mouse
Colon	Sult1a1	Mouse
Liver	Sult1a1	Mouse
Esophagus	Klk7	Mouse
Brain	Ppme1	Mouse
Esophagus	Atp2a1	Mouse
Quadriceps	Atp2a1	Mouse
Liver	Aqp8	Mouse
Colon	Aqp8	Mouse
Pancreas	Lcmt1	Mouse
Brain	Pak1	Mouse
Kidney	Slc5a2	Mouse
Quadriceps	Cox6a2	Mouse
Heart	Cox6a2	Mouse
Kidney	Prss8	Mouse
Brain	Stx1b	Mouse
Brain	Ptpn5	Mouse
Stomach	Gga2	Mouse
Liver	Hpx	Mouse
Kidney	Acsm3	Mouse
Kidney	Acsm2	Mouse
Pancreas	Gp2	Mouse
Kidney	Umod	Mouse
Colon	Ano1	Mouse
Ileum	Slc6a14	Mouse
Colon	Slc6a14	Mouse
Esophagus	Tnni2	Mouse
Quadriceps	Tnni2	Mouse
Stomach	Syt8	Mouse
Liver	F9	Mouse
Brain	Syp	Mouse
Liver	Otc	Mouse
Brain	Magee1	Mouse
Quadriceps	Itm2a	Mouse
Liver	Serpina7	Mouse
Kidney	D630029K05Rik	Mouse
Brain	Gpm6b	Mouse
Esophagus	Trex2	Mouse
Quadriceps	Asb11	Mouse
Heart	Asb11	Mouse
Kidney	Renbp	Mouse
Brain	Plp1	Mouse
Brain	Zcchc18	Mouse
Stomach	Vsig1	Mouse
Kidney	Atp11a	Mouse
Liver	F10	Mouse
Liver	Proz	Mouse
Heart	Adprhl1	Mouse
Stomach	Atp4b	Mouse
Brain	Gpm6a	Mouse
Quadriceps	Asb5	Mouse
Heart	Ank1	Mouse
Quadriceps	Ank1	Mouse
Liver	Fgl1	Mouse
Heart	Sorbs2	Mouse
Stomach	Anxa10	Mouse
Brain	Cbln1	Mouse
Heart	Mylk3	Mouse
Esophagus	Ucp1	Mouse
Esophagus	Hp	Mouse
Liver	Hp	Mouse
Brain	Gnao1	Mouse
Esophagus	Mt4	Mouse
Brain	Mt3	Mouse
Kidney	Slc12a3	Mouse
Liver	Nudt7	Mouse
Brain	Cx3cl1	Mouse
Brain	Rab3a	Mouse
Heart	Rrad	Mouse
Kidney	Cdh16	Mouse
Kidney	Hsd11b2	Mouse
Colon	Hsd11b2	Mouse
Duodenum	Ctrl	Mouse
Jejunum	Ctrl	Mouse
Pancreas	Ctrl	Mouse
Stomach	Tmed6	Mouse
Pancreas	Tmed6	Mouse
Duodenum	Ctrb1	Mouse
Jejunum	Ctrb1	Mouse
Pancreas	Ctrb1	Mouse
Kidney	Ldhd	Mouse
Liver	Agt	Mouse
Brain	Thy1	Mouse
Esophagus	Trim29	Mouse
Liver	Oaf	Mouse
Liver	Sc5d	Mouse
Duodenum	St3gal4	Mouse
Jejunum	St3gal4	Mouse
Ileum	St3gal4	Mouse
Liver	Apoa5	Mouse
Duodenum	Apoa4	Mouse
Jejunum	Apoa4	Mouse
Duodenum	Apoc3	Mouse
Jejunum	Apoc3	Mouse
Liver	Apoc3	Mouse
Duodenum	Treh	Mouse
Jejunum	Treh	Mouse
Brain	Fez1	Mouse
Colon	Slc37a2	Mouse
Brain	Scg3	Mouse
Brain	Tmod2	Mouse
Liver	Aqp9	Mouse
Liver	Lipc	Mouse
Kidney	Cgnl1	Mouse
Esophagus	Elovl4	Mouse
Liver	Nnmt	Mouse
Brain	Acsbg1	Mouse
Esophagus	Acsbg1	Mouse
Liver	Cyp1a2	Mouse
Liver	Elovl5	Mouse
Liver	Gclc	Mouse
Kidney	Gclc	Mouse
Brain	Rasgrf1	Mouse
Kidney	Tinag	Mouse
Brain	Zic1	Mouse
Kidney	Plscr2	Mouse
Duodenum	Rbp2	Mouse
Jejunum	Rbp2	Mouse
Stomach	Cldn18	Mouse
Brain	Cspg5	Mouse
Kidney	Pth1r	Mouse
Heart	Lrrc2	Mouse
Esophagus	Ltf	Mouse
Brain	Arpp21	Mouse
Brain	Mobp	Mouse
Brain	Cck	Mouse
Brain	Rab6b	Mouse
Brain	Trf	Mouse
Liver	Trf	Mouse
Quadriceps	Fhl3	Mouse
Esophagus	Fhl3	Mouse
Kidney	Kap	Mouse
Esophagus	Alox12b	Mouse
Heart	Ank2	Mouse
Brain	Ank2	Mouse
Brain	Camkv	Mouse
Liver	Cdo1	Mouse
Heart	Dhrs7c	Mouse
Quadriceps	Dhrs7c	Mouse
Heart	Pygb	Mouse
Brain	Resp18	Mouse
Brain	S100b	Mouse
Quadriceps	Agl	Mouse
Brain	Snap91	Mouse
Kidney	Upb1	Mouse
Liver	Upb1	Mouse
Kidney	Cryzl2	Mouse
Esophagus	Asprv1	Mouse
Kidney	Acsm1	Mouse
Liver	Acsm1	Mouse
Brain	Cplx1	Mouse
Liver	Nat8f2	Mouse
Liver	1300017J02Rik	Mouse
Esophagus	Calm4	Mouse
Brain	Nrxn2	Mouse
Liver	Fgb	Mouse
Liver	Fgg	Mouse
Liver	Cfhr2	Mouse
Brain	Gria2	Mouse
Quadriceps	Phka1	Mouse
Pancreas	Serpini2	Mouse
Brain	Tspoap1	Mouse
Brain	Nsf	Mouse
Brain	Hdac11	Mouse
Esophagus	Evpl	Mouse
Kidney	Nipsnap1	Mouse
Liver	Nipsnap1	Mouse
Colon	Slc26a2	Mouse
Brain	Ina	Mouse
Esophagus	Csta1	Mouse
Liver	Gulo	Mouse
Pancreas	Hsd17b13	Mouse
Liver	Hsd17b13	Mouse
Esophagus	Ly6d	Mouse
Brain	Dbn1	Mouse
Brain	Adgrb1	Mouse
Brain	Unc13a	Mouse
Kidney	Fam151a	Mouse
Kidney	Nudt19	Mouse
Brain	Sncb	Mouse
Brain	Pip5k1c	Mouse
Brain	Atcay	Mouse
Duodenum	Dpp4	Mouse
Jejunum	Dpp4	Mouse
Ileum	Dpp4	Mouse
Liver	C8a	Mouse
Liver	Creb3l3	Mouse
Duodenum	Creb3l3	Mouse
Jejunum	Creb3l3	Mouse
Ileum	Ccl5	Mouse
Duodenum	Ccl5	Mouse
Jejunum	Ccl5	Mouse
Pancreas	Lars2	Mouse
Liver	Lcat	Mouse
Brain	Brsk1	Mouse
Stomach	Tnni3	Mouse
Heart	Tnni3	Mouse
Duodenum	Reep6	Mouse
Jejunum	Reep6	Mouse
Liver	Reep6	Mouse
Liver	Gc	Mouse
Quadriceps	Ky	Mouse
Kidney	Grhpr	Mouse
Liver	Grhpr	Mouse
Brain	Cbarp	Mouse
Esophagus	Thrsp	Mouse
Liver	Thrsp	Mouse
Kidney	Xylb	Mouse
Liver	Ugt2a3	Mouse
Pancreas	Ins1	Mouse
Brain	Mlc1	Mouse
Liver	Ugt2b35	Mouse
Liver	Ugt2b1	Mouse
Brain	Ids	Mouse
Brain	Syt1	Mouse
Liver	AI182371	Mouse
Kidney	Hykk	Mouse
Duodenum	Rnase1	Mouse
Jejunum	Rnase1	Mouse
Pancreas	Rnase1	Mouse
Brain	Tmem59l	Mouse
Brain	Phf24	Mouse
Kidney	Slc17a3	Mouse
Liver	Slc17a2	Mouse
Ileum	Tm6sf2	Mouse
Duodenum	Tm6sf2	Mouse
Jejunum	Tm6sf2	Mouse
Duodenum	Leap2	Mouse
Jejunum	Leap2	Mouse
Liver	Leap2	Mouse
Kidney	Slc18a1	Mouse
Esophagus	Lum	Mouse
Esophagus	Rnf39	Mouse
Duodenum	Akp3	Mouse
Jejunum	Akp3	Mouse
Heart	Ndrg4	Mouse
Brain	Ndrg4	Mouse
Brain	Fxyd7	Mouse
Brain	Mag	Mouse
Brain	Tcaf1	Mouse
Esophagus	Cysrt1	Mouse
Kidney	Dnajc12	Mouse
Brain	Dner	Mouse
Liver	Decr2	Mouse
Liver	Pnpla7	Mouse
Esophagus	Wnt4	Mouse
Quadriceps	Phkb	Mouse
Kidney	Prodh2	Mouse
Liver	Prodh2	Mouse
Duodenum	Try5	Mouse
Jejunum	Try5	Mouse
Pancreas	Try5	Mouse
Heart	Apbb1	Mouse
Brain	Apbb1	Mouse
Liver	Azgp1	Mouse
Esophagus	Scd1	Mouse
Liver	Scd1	Mouse
Liver	Lrg1	Mouse
Kidney	Rab11fip3	Mouse
Brain	Psd	Mouse
Duodenum	Lypd8l	Mouse
Jejunum	Lypd8l	Mouse
Stomach	Lypd8l	Mouse
Esophagus	Krt80	Mouse
Esophagus	Grhl3	Mouse
Brain	Syn1	Mouse
Liver	Itih2	Mouse
Brain	Dzank1	Mouse
Pancreas	Tmem97	Mouse
Colon	Ccn3	Mouse
Brain	Vgf	Mouse
Quadriceps	Cib2	Mouse
