group	SYMBOL.Mm	Species
Kidney	Rgn	Rat
Liver	Rgn	Rat
Brain	Chst1	Rat
Quadriceps	Abra	Rat
Brain	Syt13	Rat
Kidney	Krt7	Rat
Kidney	Galnt11	Rat
Heart	Nppb	Rat
Brain	Syn2	Rat
Kidney	Pdzk1ip1	Rat
Brain	Slc24a2	Rat
Heart	Jph2	Rat
Quadriceps	Jph2	Rat
Heart	Nppa	Rat
Brain	Synpr	Rat
Quadriceps	Ky	Rat
Brain	Cnr1	Rat
Esophagus	Mylk2	Rat
Quadriceps	Mylk2	Rat
Kidney	Cat	Rat
Liver	Cat	Rat
Colon	Lpo	Rat
Brain	Gabbr2	Rat
Kidney	Slc22a5	Rat
Liver	Acox3	Rat
Stomach	Cdc42ep1	Rat
Esophagus	Actc1	Rat
Heart	Actc1	Rat
Esophagus	Pdlim2	Rat
Brain	Cadps	Rat
Esophagus	Barx2	Rat
Esophagus	Capn3	Rat
Quadriceps	Capn3	Rat
Liver	Angptl3	Rat
Brain	Snca	Rat
Esophagus	Vsig8	Rat
Kidney	Miox	Rat
Liver	Pipox	Rat
Brain	Nsmf	Rat
Kidney	Ass1	Rat
Liver	Ass1	Rat
Stomach	Gkn1	Rat
Kidney	Cyp4a12a	Rat
Kidney	Cyp4a12b	Rat
Liver	Pon1	Rat
Brain	Arpp21	Rat
Brain	Penk	Rat
Ileum	Hnf4g	Rat
Duodenum	Hnf4g	Rat
Jejunum	Hnf4g	Rat
Ileum	Guca2b	Rat
Duodenum	Guca2b	Rat
Jejunum	Guca2b	Rat
Kidney	Cyp2d26	Rat
Liver	Cyp2d26	Rat
Kidney	Cryl1	Rat
Esophagus	Amotl1	Rat
Quadriceps	Amotl1	Rat
Liver	Slco2a1	Rat
Esophagus	Sln	Rat
Kidney	Amn	Rat
Brain	Elmod1	Rat
Brain	Thra	Rat
Esophagus	Tnni1	Rat
Ileum	Trac	Rat
Kidney	Apcs	Rat
Liver	Apcs	Rat
Liver	Pon3	Rat
Brain	Clasp2	Rat
Brain	Rab6b	Rat
Brain	Necap1	Rat
Stomach	Gkn2	Rat
Brain	Fbxo44	Rat
Kidney	Lrpap1	Rat
Esophagus	Evpl	Rat
Brain	Ugt8a	Rat
Stomach	Fads2b	Rat
Esophagus	Fads2b	Rat
Brain	Fbxo2	Rat
Brain	Chn2	Rat
Liver	1300017J02Rik	Rat
Liver	Serpina6	Rat
Liver	Cyp7a1	Rat
Brain	Khdrbs3	Rat
Esophagus	Krt2	Rat
Brain	Pdxp	Rat
Stomach	Crct1	Rat
Esophagus	Crct1	Rat
Brain	Snph	Rat
Duodenum	Cybrd1	Rat
Jejunum	Cybrd1	Rat
Brain	Dpysl2	Rat
Brain	Scrn1	Rat
Kidney	Enpp6	Rat
Brain	Dync1i1	Rat
Ileum	Lck	Rat
Esophagus	Elovl4	Rat
Brain	Olfm1	Rat
Brain	Ppp3ca	Rat
Kidney	Clcnkb	Rat
Pancreas	Serpini2	Rat
Liver	Serpina3c	Rat
Liver	Serpina3k	Rat
Liver	Serpina3m	Rat
Ileum	Pls1	Rat
Duodenum	Pls1	Rat
Jejunum	Pls1	Rat
Kidney	Aif1l	Rat
Liver	Vtn	Rat
Quadriceps	Plpp7	Rat
Esophagus	Pkp1	Rat
Kidney	Cldn10	Rat
Kidney	Slc27a2	Rat
Liver	Slc27a2	Rat
Brain	Ndn	Rat
Kidney	Glb1	Rat
Brain	Glrb	Rat
Brain	Enpp5	Rat
